,BlockNameBegin,BlockNameEnd,BlockNS,BlockEW,Time,NeighborhoodWatchSigns,WeCallPolice,TresspassingSign,DogSign,AlarmSystem, ForRent,ForSale,FallenTree,Construction,VacantLots,IllegalDumping,BoardedUp,NoSolicitation,Notes,Date,Surveyor,OfficialBoolean,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Latitude,Longitude
140,Throop/Van_Buren,Throop/Gladys,370S,1200W,14:58,1,1,null,null,null,0,0,0,1,0,0,0,null,,7/20/2015,Stacy and Denise,TRUE,,,,,,41.87647294,-87.65939779
141,Jackson/Laflin,Laflin/Adam,230S,1500W,15:10,1,1,null,null,null,0,0,0,1,0,0,0,null,,7/20/2015,Stacy and Denise,TRUE,,,,,,41.8776819,-87.66430891
142,Laflin/Monroe,Monroe_Ave,25S,1400W,15:25,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/20/2015,Stacy and Denise,TRUE,,,,,,41.88021052,-87.66435762
143,Aberdeen/Rundell,Aberdeen/Arcade,16S,1100W,15:23,1,1,null,null,null,0,0,0,0,0,0,0,null,,7/20/2015,Stacy and Denise,TRUE,,,,,,41.88118035,-87.65469924
144,Quincy/Aberdeen,Aberdeen/Jackson,215S,1100W,15:32,1,1,null,null,null,0,0,0,0,0,0,0,null,,7/20/2015,Stacy and Denise,TRUE,,,,,,41.878626,-87.65415
145,Madison/Carpenter,Carpenter/Washington,16S,1000W,15:45,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/20/2015,Stacy and Denise,TRUE,,,,,,41.88165419,-87.65319801
146,Carpenter/Washington,Washington/Sangamon,101N,1000W,15:46,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/20/2015,Stacy and Denise,TRUE,,,,,,41.88304028,-87.65320686
147,Morgan/Monroe,Morgan/Adam,100S,1000W,15:54,1,1,null,null,null,0,0,0,0,0,0,0,null,,7/20/2015,Stacy and Denise,TRUE,,,,,,41.88041423,-87.65196691
148,Madison/Sangamon,Sangamon/Monroe,1S,900W,16:08,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/20/2015,Stacy and Denise,TRUE,,,,,,41.88171176,-87.65084652
149,Adam/Peoria,Peoria/Jackson,200S,900W,16:15,1,1,null,null,null,0,0,0,0,0,0,0,null,,7/20/2015,Stacy and Denise,FALSE,,,,,,41.87918313,-87.64958885
150,Peoria/Jackson,Peoria/Van_Buren,300S,900W,16:20,1,1,null,null,null,0,0,0,0,0,0,0,null,,7/20/2015,Stacy and Denise,FALSE,,,,,,41.87792103,-87.64955785
151,Fargo/Hoyne,Fargo/Seeley,7300N,2100W,15:04,0,0,null,null,null,2,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,42.01648181,-87.68298798
152,Fargo/Seeley,Fargo/Damen,7400N,2100W,15:05,0,0,null,null,null,3,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,42.0164641,-87.68165945
153,Damen/Fargo,Damen/Jarvis,7300N,2000W,15:07,0,0,null,null,null,2,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,42.016675,-87.680748
154,Damen/Fargo,Damen/Birchwood,7400N,2000W,15:13,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,42.0164331,-87.68042835
155,Winchester/Birchwood,Winchester/Howard,7600N,1900W,15:16,2,0,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,42.01791219,-87.67903783
156,Birchwood/Western,Birchwood/Claremont,7400N,2400W,14:18,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,42.01741178,-87.69017973
157,Jarvis/Claremont,Jarvis/Western,7300N,2400W,14:20,0,0,null,null,null,1,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,42.0156537,-87.68884677
158,Jarvis/Oakley,Dead_End,7350N,2300W,14:27,0,0,null,null,null,2,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,42.0156227,-87.68749611
159,Hamilton/Chase,Dead_End,7300N,2100W,14:33,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,42.01405061,-87.68496748
160,Oakley/Birchwood,Oakley/Howard,7600N,2300W,14:40,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,42.017288,-87.687743
161,Bell/Howard,Dead_End,7600N,2100W,14:42,0,1,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,42.01951085,-87.68650857
162,Ridge/Birchwood,Ridge/Fargo,7400N,2100W,14:49,0,0,null,null,null,1,0,1,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,42.0179609,-87.68444935
163,Ridge/Fargo,Ridge/Jarvis,7500N,2100W,14:54,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,42.01649067,-87.68427665
164,Oakley/Jarvis,Oakley/Birchwood,7400N,2300W,14:58,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,42.015474,-87.68781
165,Winchester/Ainslie,Winchester/Argyle,5000N,1900W,9:32,0,0,null,null,null,0,1,0,2,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.9706034,-87.67772702
166,Argyle/Winchester,Argyle/Wolcott,5000N,1800W,9:35,0,0,null,null,null,0,1,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.97243234,-87.67775801
167,Wolcott/Winona,Wolcott/Foster,5200N,1800W,9:40,0,0,null,null,null,0,0,0,2,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.97474397,-87.67633649
168,Carmen/Ashland,Carmen/Paulina,5100N,1600W,9:51,0,0,null,null,null,1,2,0,2,2,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.97433213,-87.66958758
169,Winnemac/Ravenswood,Winnemac/Ravenswood,5000N,1700W,10:00,0,0,null,null,null,0,2,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.9733623,-87.67484854
170,Winnemac/Hermitage,Winnemac/Paulina,5300N,1650W,10:04,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.9733933,-87.67271847
171,Hermatige/Ainslie,Hermatige/Lawrence,4900N,1700W,10:12,0,1,null,null,null,1,0,1,0,0,0,2,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.9718035,-87.67266976
172,Magnolia/Argyle,Magnolia/Gunnison,4800N,1200W,10:30,0,0,null,null,null,2,1,0,0,1,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.97266261,-87.66107616
173,Ainslie/Magnolia,Ainslie/Broadway,4800N,1200W,10:32,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.97143151,-87.66107616
174,Glenwood/Argyle,Dead_End,1300W,4900N,10:38,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.97260062,-87.66466761
175,Winnemac/Glenwood,Winnemac/Glenwood,5000N,1400W,10:42,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.9733623,-87.6646499
176,Winona/Lakewood,Winona/Broadway,5100N,1200W,10:48,0,0,null,null,null,1,0,0,4,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.92104054,-88.20031581
177,Winona/Broadway,Winona/Kenmore,5200N,1200W,10:54,1,1,null,null,null,0,0,0,0,0,0,1,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.97522224,-87.65983621
178,Glenwood/Foster,Glenwood/Berwyn,5200N,1400W,11:06,0,2,null,null,null,2,0,0,1,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.97627177,-87.66467647
179,Olive/Glenwood,Olive/Clark,5200N,1200W,11:18,6,1,null,null,null,0,1,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.98452192,-87.6649156
180,Olive/Ashland,Olive/Hermatige,5300N,1600W,11:24,2,0,null,null,null,0,1,1,1,1,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.98432264,-87.66984886
181,Rosehill/Paulina,Rosehill/Ashland,5800N,1600W,11:30,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.987009,-87.671527
182,Rosehill/Paulina,Rosehill/Ashland,5800N,1600W,11:38,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.987009,-87.671527
183,Glenwood/Norwood,Glenwood/Elmdale,6100N,1400W,11:53,0,1,null,null,null,2,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.99183324,-87.66516802
184,Thorndale/Lakewood,Thorndale/Magnolia,5900N,1300W,12:01,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.98992016,-87.66261725
185,Thorndale/Broadway,Thorndale/Winthrop,5900N,1100W,13:03,0,0,null,null,null,1,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.98993344,-87.66026576
186,Ardmore/Kenmore,Ardmore/Sheridan,5800N,1000W,13:09,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.98733396,-87.65666989
187,Winthrop/Hollywood,Winthrop/BrynMawr,5600N,1200W,13:16,0,1,null,null,null,4,3,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.98548288,-87.65796741
188,BrynMawr/Sheridan,BrynMawr/LakeShore,5400N,1000W,13:20,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.98383108,-87.6551598
189,Catalpa/Kenmore,Catalpa/Sheidan,5500N,1000W,13:28,0,0,null,null,null,1,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.98186044,-87.65652818
190,Balmoral/Kenmore,Balmoral/Winthrop,5300N,1100W,13:30,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.98002264,-87.65646618
191,Balmoral/Winthrop,Balmoral/Broadway,5300N,1000W,13:34,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Alison/Ben,TRUE,,,,,,41.98001379,-87.65779913
192,Lawndale/85th_Pl,Lawndale/85th,8500S,3700W,11:27,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/21/2015,Abisola/Anthony,TRUE,,,,,,41.73772173,-87.71418618
193,84th/Hamlin,84th/Springfield,8400S,3800W,11:44,0,4,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.74044078,-87.71674581
194,Karlov/86th,Kedvale/86th,8600S,4100W,12:02,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.73663234,-87.72389771
195,87th/Tripp,86th/Tripp,8700S,4200W,12:09,2,2,null,null,null,0,3,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.73475026,-87.72749801
196,84th/Kolin,83rd/Kolin,8400S,4300W,12:20,1,1,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.74020165,-87.73009749
197,84th/Kildare,83rd/Kildare,8400S,4300W,12:25,2,2,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.74023265,-87.72887968
198,83rd_Pl/Scottsdale,83rd_Pl/Kolmar,8300S,4600W,12:28,1,0,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.74122018,-87.73474733
199,83rd_Pl/Kolmar,84th_Pl/Komar,8400S,4600W,12:41,1,0,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.74130432,-87.73571716
200,84th_Pl/Kenton,83rd_Pl/Kenton,8400S,4600W,12:47,1,0,null,null,null,0,1,0,2,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.73872256,-87.73707668
201,Kilpatrick/83rd_Pl,Kilpatrick/83rd,8300S,4700W,12:56,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.74126004,-87.73898976
202,Kilpatrick/82nd_Pl,Kilpatrick/82nd,8200S,4700W,13:00,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.74274356,-87.73841849
203,Kilpatrick/Scottsdale,Knox/Scottsdale,8100S,4600W,13:04,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.74664057,-87.73822807
204,Kilpatrick/Scottsdale,Kilpatrick/79th,7900S,4600W,13:12,2,1,null,null,null,0,1,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.74664057,-87.73822807
205,79th/Kilbourn,77th_Pl/Kilbourn,7800S,4500W,14:53,3,3,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.88425252,-87.63244777
206,Kenneth/77th_Pl,77th_Pl/Kostner,7700S,4400W,15:02,2,3,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.75252151,-87.73297596
207,77th_Pl/Kostner,79th/Kostner,7800S,4400W,15:05,6,2,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.75253036,-87.73173601
208,80th/79th_Pl,81st/79th_Pl,8000S,4400W,15:46,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.88425252,-87.63244777
209,81st/Kildare,82nd_Pl/Kildare,8100S,4300W,16:00,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.74560432,-87.72832612
210,82nd_Pl/Tripp,Crestline/Tripp,8200S,4200W,16:06,0,0,null,null,null,0,1,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.74277013,-87.7294598
211,Crestline/Tripp,Crestline/82nd,8100S,4100W,16:16,2,2,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.7445105,-87.72701974
212,82nd/Crestline,82ndPl/82nd,8200S,4100W,16:28,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.88425252,-87.63244777
213,82nd_Pl/Kedvale,82nd_Pl/81st_Pl,8100S,4000W,16:35,3,2,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.74285427,-87.72533694
214,80th_Pl/79th_Pl,Kedvale/80th_Pl,8000S,4200W,16:57,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.88425252,-87.63244777
215,78th/Hamlin,78th/Ridgeway,7800S,3800W,17:17,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.75142326,-87.71826919
216,78th/Ridgeway,78th/Reilly,7800S,3700W,17:22,1,2,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.75133026,-87.71619669
217,Keeler/77th_Pl,78th/Keeler,7800S,4200W,17:46,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/22/2015,Abisola/Anthony,TRUE,,,,,,41.75266322,-87.72613849
218,23rd/Christina,Homan/Christina,2300S,3300W,10:16,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.84991128,-87.7088278
219,25th/Homan,26th/Homan,2500S,3300W,10:29,0,0,null,null,null,0,0,0,0,1,0,0,null,,7/24/2015,Gustavo/Danica,FALSE,,,,,,41.84626227,-87.70994819
220,26th/Homan,27th/Homan,2600S,3300W,10:34,0,0,null,null,null,1,0,0,1,0,0,0,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.84447319,-87.70989948
221,30th/Trumbull,28th/Trumbull,2800S,3400W,11:31,0,0,null,null,null,0,1,0,1,0,0,0,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.83896423,-87.71097558
222,St._Louis/28th,Drake/28th,2800S,3500W,11:38,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.84078431,-87.71222882
223,MIllard/27th,Lawndale/27th,2700S,3600W,11:54,0,0,null,null,null,0,0,0,0,0,0,1,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.84253354,-87.71593984
224,Avers/27th,Springfield/27th,2700S,3800W,12:01,0,0,null,null,null,0,0,0,0,0,0,1,null,,7/24/2015,Gustavo/Danica,FALSE,,,,,,41.8424804,-87.72081996
225,Springfield/27th,Harding/27th,2700S,3900W,12:04,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/24/2015,Gustavo/Danica,FALSE,,,,,,41.84244054,-87.72202891
226,27th/Karlov,26/Karlov,2600S,4000W,12:10,0,1,null,null,null,0,0,0,1,0,0,0,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.84237412,-87.72692674
227,26th/Kildare,25th_Pl/Kildare,2500S,4300W,12:18,0,0,null,null,null,0,0,0,0,1,0,0,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.8441632,-87.731829
228,Kildare/25th,Keeler/25th,2500S,4200W,12:27,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.84599213,-87.73108946
229,Keeler/25th,Pulaski/25th,2500S,4100W,12:32,0,0,null,null,null,0,0,0,2,1,0,0,null,,7/24/2015,Gustavo/Danica,FALSE,,,,,,41.84602313,-87.72947751
230,Pulaski/25th,Springfield/25th,2500S,3900W,12:53,0,0,null,null,null,0,0,0,1,1,1,0,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.88425252,-87.63244777
231,25th/Harding,24th/Harding,2400S,3900W,12:54,0,0,null,null,null,0,1,0,1,0,0,0,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.84609399,-87.72337958
232,Avers/25th,Hamlin/25th,2500S,3800W,13:03,1,0,null,null,null,1,0,0,0,0,0,0,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.84613384,-87.72092624
233,24th/Ridgeway,23rd/Ridgeway,2300S,3700W,13:09,0,0,null,null,null,0,0,0,2,0,0,0,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.84799378,-87.71855703
234,23rd/Hamlin,24th/Hamlin,2300S,3800W,13:13,1,1,null,null,null,0,1,0,1,1,0,0,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.84966329,-87.71983685
235,Cermak/Avers,Dead_End,2200S,3800W,13:25,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.85159408,-87.72106795
236,Avers/18th,Hamlin/18th,1800S,3800W,14:57,0,0,null,null,null,0,0,0,0,0,0,0,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.85709418,-87.72114766
237,St_Louis/18th,Trumbull/18th,1800S,3400W,15:13,0,0,null,null,null,0,0,0,0,3,0,0,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.88425252,-87.63244777
238,16th/Christina,15th/Christina,1500S,3300W,15:22,0,0,null,null,null,0,0,0,0,5,0,3,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.88425252,-87.63244777
239,Homan/15th,Trumbull/15th,1500S,3400W,15:27,0,0,null,null,null,0,0,0,0,2,0,0,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.86086276,-87.7103556
240,15th/Drake,Douglas/Drake,1400S,3500W,15:44,0,0,null,null,null,0,0,0,1,11,0,2,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.88425252,-87.63244777
241,Douglas/Ridgeway,15th/Ridgeway,1400S,3700W,16:07,0,0,null,null,null,0,0,1,0,1,0,1,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.86213372,-87.71894673
242,Komensky/14th,Karlov/14th,1400S,4000W,16:36,0,0,null,null,null,0,0,0,0,2,0,3,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.86250128,-87.72625805
243,Kedvale/15th,Keeler/15th,1500S,4100W,16:45,0,0,null,null,null,0,0,0,2,3,0,2,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.86063249,-87.72867597
244,Keeler/14th,Tripp/14th,1400S,4200W,16:50,0,0,null,null,null,0,0,0,0,2,0,0,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.86244371,-87.72994693
245,Komensky/19th,Pulaski/19th,1900S,4000W,17:15,0,0,null,null,null,0,0,0,0,0,2,0,null,,7/24/2015,Gustavo/Danica,TRUE,,,,,,41.85501282,-87.72605877
246,Moody/53rd,Moody/52nd,5300S,6130W,9:45,2,0,null,0,7,0,3,0,1,0,0,0,null,,7/27/2015,Radha/Gustavo,TRUE,,,,,,41.79616357,-87.77579877
247,Moody/52nd,Meade/52nd,5100S,6100W,9:51,0,0,null,0,0,0,0,0,0,0,0,0,null,,7/27/2015,Radha/Gustavo,TRUE,,,,,,41.79797037,-87.77585634
248,Meade/52nd,Meade/51st ,5150S,6100W,9:53,2,0,null,0,4,0,0,0,0,0,0,0,null,,7/27/2015,Radha/Gustavo,TRUE,,,,,,41.79800136,-87.77460752
249,Mason/51st,Mason/52nd,5100S,5960W,10:03,0,0,null,2,5,0,2,0,1,0,0,0,null,,7/27/2015,Radha/Gustavo,TRUE,,,,,,41.79991001,-87.77102936
250,Mason/52nd,Mayfield/52nd,5200S,5930W,10:05,0,0,null,0,1,1,0,0,0,0,0,0,null,,7/27/2015,Radha/Gustavo,FALSE,,,,,,41.79809436,-87.77097622
251,Mayfield/52nd,Mayfield/51st,5200S,5900W,10:13,0,0,null,3,9,0,1,0,0,0,0,0,null,,7/27/2015,Radha/Gustavo,TRUE,,,,,,41.79810322,-87.76974955
252,Monitor/51st,Monitor/52nd,5100S,5880W,10:20,0,0,null,2,3,0,1,0,0,0,0,0,null,,7/27/2015,Radha/Gustavo,TRUE,,,,,,41.79996315,-87.76896572
253,Monitor/52nd,Monitor/53rd,5200S,5830W,10:26,0,0,null,3,5,0,1,0,0,0,0,0,null,,7/27/2015,Radha/Gustavo,TRUE,,,,,,41.79812093,-87.76854945
254,Menard/53rd,Menard/52nd,5300S,5800W,10:32,1,0,null,1,5,0,0,0,0,0,0,1,null,,7/27/2015,Radha/Gustavo,TRUE,,,,,,41.79634071,-87.76727849
255,,,,,,,,null,,,,,,,,,,null,Menard/53rd to Massasoit/52nd (photo),7/27/2015,Radha/Gustavo,,,,,,,41.79793051,-87.7782964
256,,,,,,,,null,,,,,,,,,,null,52nd/Menard to Monitor/52nd (photo),7/27/2015,Radha/Gustavo,,,,,,,41.79971073,-87.77956735
257,,,,,,,,null,,,,,,,,,,null,52nd/Monitor to Mayfield/52nd (photo),7/27/2015,Radha/Gustavo,,,,,,,41.79790394,-87.77950978
258,,,,,,,,null,,,,,,,,,,null,Mason/52nd to Austin/52nd (photo),7/27/2015,Radha/Gustavo,,,,,,,41.79605286,-87.7818967
259,Merrimac/52nd,Merrimac/51st,5200S,6230W,10:56,1,0,null,1,1,0,0,0,0,0,0,0,null,,7/27/2015,Radha/Gustavo,TRUE,,,,,,41.7978508,-87.78193656
260,,,,,,,,null,,,,,,,,,,null,Merrimac/51st to Mobile/51st (photo),,,,,,,,,41.79964431,-87.78444747
261,Mobile/51st,Mobile/52nd,5100S,6300W,11:01,1,1,null,1,1,0,0,0,1,0,0,0,null,,7/27/2015,Radha/Gustavo,TRUE,,,,,,41.79782423,-87.7843899
262,Mobile/52nd,Mobile/53rd,5200S,6300W,11:05,0,0,null,2,1,0,1,0,0,0,0,0,null,,7/27/2015,Radha/Gustavo,TRUE,,,,,,41.79598201,-87.785559
263,Narragansett/53rd,Narragansett/52nd,5300S,6400W,11:14,1,0,null,4,8,0,1,0,0,0,0,0,null,,7/27/2015,Radha/Gustavo,TRUE,,,,,,41.79781094,-87.78561657
264,Narragansett/52nd,Narragansett/51st,5200S,6400W,11:17,0,0,null,3,3,1,0,0,0,0,0,0,null,,7/27/2015,Radha/Gustavo,FALSE,,,,,,41.79958231,-87.78689639
265,Natchez/51st,Natchez/52nd,5100S,6500W,11:27,0,0,null,1,0,0,1,0,0,0,0,0,null,,7/27/2015,Radha/Gustavo,FALSE,,,,,,41.79779323,-87.78683882
266,Natchez/52nd,Natchez/53rd,5200S,6500W,11:31,0,0,null,0,7,0,1,0,0,0,0,0,null,,7/27/2015,Radha/Gustavo,TRUE,,,,,,41.79592001,-87.79164808
267,Neenah/53rd,Neenah/52nd,5300S,6530W,11:37,0,0,null,0,4,0,0,0,0,0,0,1,null,,7/27/2015,Radha/Gustavo,TRUE,,,,,,41.79770023,-87.79289689
268,Neenah/52nd,Neenah/51st,5200S,6530W,11:41,0,0,null,1,5,0,1,0,0,0,0,0,null,,7/27/2015,Radha/Gustavo,FALSE,,,,,,41.80992267,-87.70644974
269,Nashville/51st,52nd/Nashville,5100S,6600W,11:45,1,0,null,2,5,0,0,0,0,0,0,0,null,,7/27/2015,Radha/Gustavo,TRUE,,,,,,41.81719413,-87.70431967
270,Nashville/52nd ,Nashville/53rd,5200S,6600W,11:50,0,0,null,1,2,0,0,0,0,0,0,0,null,,7/27/2015,Radha/Gustavo,TRUE,,,,,,41.82075015,-87.69336819
271,Oakpark/53rd,Oakpark/52nd,5300S,6800W,12:00,0,0,null,0,3,0,0,0,0,0,0,0,null,,7/27/2015,Radha/Gustavo,TRUE,,,,,,41.81857137,-87.68961732
272,Newcastle/52nd,Newcastle/51st,5200S,6830W,12:05,2,0,null,1,3,0,1,0,0,0,0,0,null,,7/27/2015,Radha/Gustavo,TRUE,,,,,,41.797828,-87.793211
273,,,,,,,,null,,,,,,,,,,null,,7/27/2015,Radha/Gustavo,,,,,,,41.82108228,-87.68846593
274,Spaulding/46th,Spaulding/45th,4600S,3300W,13:47,1,1,2,0,2,0,1,0,0,0,0,0,0,,7/27/2015,Radha/Denise,TRUE,,,,,,41.81205274,-87.68582659
275,,,,,,,,null,,,,,,,,,,null,Kedzie/43rd to Sawyer/43rd (photo) (14:04pm),7/27/2015,Radha/Denise,,,,,,,41.88425252,-87.63244777
276,Kedzie/42nd,Albany/42nd,4200S,3140W,14:08,8,2,null,0,1,0,0,0,0,0,0,2,null,,7/27/2015,Radha/Denise,TRUE,,,,,,41.81194202,-87.69310691
277,Montgomery/Archer,Montgomery/Rockwell,4000S,2800W,14:30,1,2,null,3,2,1,0,0,0,0,0,1,null,,7/27/2015,Radha/Denise,TRUE,,,,,,41.81186231,-87.69677807
278,Montgomery/Rockwell,Brighton/Rockwell,4120S,2610W,14:37,0,1,null,0,1,0,1,0,0,0,0,1,null,,7/27/2015,Radha/Denise,TRUE,,,,,,41.81003338,-87.69793832
279,Brighton/Rockwell,Rockwell/40th,4250S,2600W,14:39,0,0,null,3,3,0,0,0,0,0,0,1,null,,7/27/2015,Radha/Denise,TRUE,,,,,,41.81182246,-87.70041823
