,Tag,Date,Parameter Code,Values,Parameter Description,Units of Measurement,Media,Method,Type,Lat,Long
3977,Z007217,6/15/78,400,8.2,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3976,Z006858,6/15/78,400,7.1,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3975,Z006857,6/15/78,400,7.1,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3974,Z006856,6/15/78,400,7.1,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
14151,Z006841,6/15/78,680,1.8,"CARBON, TOTAL ORGANIC, NPOC (TOC), MG/L",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
13862,Z007516,6/15/78,77,30,"TRANSPARENCY, SECCHI DISC (INCHES)",IN,Water,N/A Calculation,Water,33.90492,-96.665033
1914,Z006842,6/15/78,300,8.3,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
1913,Z006841,6/15/78,300,8.3,"OXYGEN, DISSOLVED (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
15684,Z006841,6/15/78,70300,1243,"RESIDUE,TOTAL FILTRABLE (DRIED AT 180C) (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
3979,Z007219,6/15/78,400,8.2,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
13780,Z007833,6/15/78,1078,2,"SILVER, BOTTOM DEPOSITS (MG/KG AS AG DRY WT)",MG/KG,Sediment,N/A Calculation,Water,33.90492,-96.665033
3980,Z007220,6/15/78,400,8.2,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3981,Z007221,6/15/78,400,8.1,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3982,Z007223,6/15/78,400,8,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3983,Z007224,6/15/78,400,7.9,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3984,Z007225,6/15/78,400,7.7,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3985,Z007226,6/15/78,400,7.3,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
13795,Z007833,6/15/78,1093,73.5,"ZINC, BOTTOM DEPOSITS (MG/KG AS ZN DRY WT)",MG/KG,Sediment,N/A Calculation,Water,33.90492,-96.665033
3986,Z007227,6/15/78,400,7.2,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3987,Z007228,6/15/78,400,7.2,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3988,Z007229,6/15/78,400,7.2,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3989,Z007230,6/15/78,400,7.2,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3990,Z007516,6/15/78,400,8.1,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3991,Z007517,6/15/78,400,8.1,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3992,Z007518,6/15/78,400,8.1,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3993,Z007519,6/15/78,400,8.1,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3994,Z007520,6/15/78,400,8,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3995,Z007521,6/15/78,400,8,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
15916,Z006859,6/15/78,97522,81,MESOCYCLOPS EDAX (#/LITER),#/L,Water,N/A Calculation,Water,33.90492,-96.665033
15915,Z006859,6/15/78,97519,71.77,CYCLOPS VERNALIS (#/LITER),#/L,Water,N/A Calculation,Water,33.90492,-96.665033
15914,Z006859,6/15/78,97087,1.58,DAPHNIA DUBIA (#/LITER),#/L,Water,N/A Calculation,Water,33.90492,-96.665033
15687,Z007822,6/15/78,70300,1130,"RESIDUE,TOTAL FILTRABLE (DRIED AT 180C) (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
15686,Z007516,6/15/78,70300,1496,"RESIDUE,TOTAL FILTRABLE (DRIED AT 180C) (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
15685,Z007217,6/15/78,70300,1034,"RESIDUE,TOTAL FILTRABLE (DRIED AT 180C) (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
14152,Z007217,6/15/78,680,2.8,"CARBON, TOTAL ORGANIC, NPOC (TOC), MG/L",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
12008,Z007825,6/15/78,94,1800,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
14153,Z007516,6/15/78,680,2.2,"CARBON, TOTAL ORGANIC, NPOC (TOC), MG/L",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
11965,Z006841,6/15/78,94,1900,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
3972,Z006854,6/15/78,400,7.2,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3971,Z006853,6/15/78,400,7.2,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3970,Z006852,6/15/78,400,7.2,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3969,Z006851,6/15/78,400,7.2,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3968,Z006850,6/15/78,400,7.2,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
13750,Z007833,6/15/78,1053,570,"MANGANESE, BOTTOM DEPOSITS (MG/KG AS MN DRY WG",MG/KG,Sediment,N/A Calculation,Water,33.90492,-96.665033
6007,Z006841,6/15/78,940,387.6,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
6008,Z007217,6/15/78,940,308.6,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
6009,Z007516,6/15/78,940,525.3,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
6010,Z007822,6/15/78,940,400.4,CHLORIDE (MG/L AS CL),MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
3967,Z006849,6/15/78,400,7.3,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3973,Z006855,6/15/78,400,7.1,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
11993,Z007227,6/15/78,94,1800,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11995,Z007229,6/15/78,94,1850,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11996,Z007230,6/15/78,94,1900,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11997,Z007516,6/15/78,94,2350,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11998,Z007517,6/15/78,94,2350,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11999,Z007518,6/15/78,94,2350,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
12001,Z007520,6/15/78,94,2300,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
12002,Z007521,6/15/78,94,2300,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
12003,Z007522,6/15/78,94,2300,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
12004,Z007523,6/15/78,94,2300,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
12005,Z007822,6/15/78,94,1800,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
12006,Z007823,6/15/78,94,1800,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11994,Z007228,6/15/78,94,1850,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
13765,Z007833,6/15/78,1068,47,"NICKEL, TOTAL, BOTTOM DEPOSITS (MG/KG,DRY WT)",MG/KG,Sediment,N/A Calculation,Water,33.90492,-96.665033
9354,Z006841,6/15/78,535,2,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
11992,Z007226,6/15/78,94,1800,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11966,Z006842,6/15/78,94,1900,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11967,Z006843,6/15/78,94,1900,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11968,Z006844,6/15/78,94,1900,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11969,Z006845,6/15/78,94,2050,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11970,Z006846,6/15/78,94,2050,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11971,Z006847,6/15/78,94,2050,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11972,Z006848,6/15/78,94,2050,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11973,Z006849,6/15/78,94,2050,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11974,Z006850,6/15/78,94,2050,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11975,Z006851,6/15/78,94,2100,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11976,Z006852,6/15/78,94,2100,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11977,Z006853,6/15/78,94,2100,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11978,Z006854,6/15/78,94,2100,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11979,Z006855,6/15/78,94,2100,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11980,Z006856,6/15/78,94,2100,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11981,Z006857,6/15/78,94,2100,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11983,Z007217,6/15/78,94,1600,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11984,Z007218,6/15/78,94,1600,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11985,Z007219,6/15/78,94,1600,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11986,Z007220,6/15/78,94,1600,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11987,Z007221,6/15/78,94,1600,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11988,Z007222,6/15/78,94,1600,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11989,Z007223,6/15/78,94,1700,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11990,Z007224,6/15/78,94,1700,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
11991,Z007225,6/15/78,94,1700,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
14154,Z007822,6/15/78,680,1.4,"CARBON, TOTAL ORGANIC, NPOC (TOC), MG/L",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
11982,Z006858,6/15/78,94,2100,"SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)",uS/cm,Water,N/A Calculation,Water,33.90492,-96.665033
3963,Z006845,6/15/78,400,7.5,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
5467,Z007217,6/15/78,403,8.4,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
5586,Z006841,6/15/78,410,114,"ALKALINITY, TOTAL (MG/L AS CACO3)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
693,Z007217,6/15/78,11,79,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
692,Z006858,6/15/78,11,63.5,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
691,Z006857,6/15/78,11,63.5,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
690,Z006856,6/15/78,11,64,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
7457,Z006841,6/15/78,10,25.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7458,Z006842,6/15/78,10,25.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7459,Z006843,6/15/78,10,25.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7460,Z006844,6/15/78,10,24.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7461,Z006845,6/15/78,10,24.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7462,Z006846,6/15/78,10,24,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
5587,Z007217,6/15/78,410,116,"ALKALINITY, TOTAL (MG/L AS CACO3)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
7463,Z006847,6/15/78,10,24,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7465,Z006849,6/15/78,10,23,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7466,Z006850,6/15/78,10,22.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7467,Z006851,6/15/78,10,21.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7468,Z006852,6/15/78,10,20.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7469,Z006853,6/15/78,10,20,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7470,Z006854,6/15/78,10,19.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7471,Z006855,6/15/78,10,18.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7472,Z006856,6/15/78,10,18,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7473,Z006857,6/15/78,10,17.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7474,Z006858,6/15/78,10,17.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7475,Z007217,6/15/78,10,26,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7464,Z006848,6/15/78,10,23.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
5588,Z007516,6/15/78,410,104,"ALKALINITY, TOTAL (MG/L AS CACO3)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
5589,Z007822,6/15/78,410,98,"ALKALINITY, TOTAL (MG/L AS CACO3)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
694,Z007218,6/15/78,11,77.9,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
720,Z007827,6/15/78,11,77.9,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
719,Z007826,6/15/78,11,79.7,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
718,Z007825,6/15/78,11,79.7,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
717,Z007824,6/15/78,11,79.7,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
715,Z007822,6/15/78,11,79.7,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
714,Z007523,6/15/78,11,77,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
713,Z007522,6/15/78,11,79,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
712,Z007521,6/15/78,11,79,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
711,Z007520,6/15/78,11,79,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
710,Z007519,6/15/78,11,79,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
709,Z007518,6/15/78,11,81,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
708,Z007517,6/15/78,11,81,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
707,Z007516,6/15/78,11,81,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
706,Z007230,6/15/78,11,67.1,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
705,Z007229,6/15/78,11,67.1,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
704,Z007228,6/15/78,11,67.1,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
703,Z007227,6/15/78,11,70.7,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
702,Z007226,6/15/78,11,72,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
701,Z007225,6/15/78,11,76.1,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
700,Z007224,6/15/78,11,77,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
699,Z007223,6/15/78,11,77,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
698,Z007222,6/15/78,11,77,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
697,Z007221,6/15/78,11,77.9,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
696,Z007220,6/15/78,11,77.9,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
695,Z007219,6/15/78,11,77.9,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
7476,Z007218,6/15/78,10,25.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
721,Z007828,6/15/78,11,77.9,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
7477,Z007219,6/15/78,10,25.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7479,Z007221,6/15/78,10,25.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7501,Z007826,6/15/78,10,26.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7502,Z007827,6/15/78,10,25.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7503,Z007828,6/15/78,10,25.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7504,Z007829,6/15/78,10,25,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7505,Z007830,6/15/78,10,24.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7506,Z007831,6/15/78,10,23.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7507,Z007832,6/15/78,10,23.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
681,Z006847,6/15/78,11,75,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
680,Z006846,6/15/78,11,75,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
679,Z006845,6/15/78,11,76.1,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
678,Z006844,6/15/78,11,76.1,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
7500,Z007825,6/15/78,10,26.5,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
677,Z006843,6/15/78,11,77.9,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
675,Z006841,6/15/78,11,77.9,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
8944,Z007822,6/15/78,530,12,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
8943,Z007516,6/15/78,530,9,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
8942,Z007217,6/15/78,530,5,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
8941,Z006841,6/15/78,530,4,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",MG/L,Water,N/A Calculation,Water,33.90492,-96.665033
3959,Z006841,6/15/78,400,8,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3960,Z006842,6/15/78,400,8,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
3961,Z006843,6/15/78,400,8,PH (STANDARD UNITS),S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
5466,Z006841,6/15/78,403,8.3,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
5468,Z007516,6/15/78,403,8.6,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
5469,Z007822,6/15/78,403,8.4,PH (STANDARD UNITS) LAB,S.U.,Water,N/A Calculation,Water,33.90492,-96.665033
676,Z006842,6/15/78,11,77.9,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
682,Z006848,6/15/78,11,74.3,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
683,Z006849,6/15/78,11,73,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
684,Z006850,6/15/78,11,72.5,"TEMPERATURE, WATER (DEGREES FAHRENHEIT)",DEG F,Water,N/A Calculation,Water,33.90492,-96.665033
7480,Z007222,6/15/78,10,25,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
7481,Z007223,6/15/78,10,25,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
